Nombre_distrito;Nº_Distrito;NOMBRE_ESPECIE;Nº_Unidades;
MORATALAZ;14;Acer pseudoplatanus;446;
MORATALAZ;14;Otros;8305;
;;Total;24208;
CIUDAD LINEAL;15;Platanus x hybrida;4716;
CIUDAD LINEAL;15;Pinus pinea;4227;
CIUDAD LINEAL;15;Ulmus pumila;3928;
CIUDAD LINEAL;15;Sophora japonica;1680;
CIUDAD LINEAL;15;Prunus cerasifera subsp. Pissartii;1488;
CIUDAD LINEAL;15;Robinia pseudoacacia;1440;
CIUDAD LINEAL;15;Acer negundo;1361;
CIUDAD LINEAL;15;Celtis australis;1162;
CIUDAD LINEAL;15;Cupressus sempervirens;1007;
CIUDAD LINEAL;15;Pinus halepensis;960;
CIUDAD LINEAL;15;Ulmus minor;891;
CIUDAD LINEAL;15;Otros;14884;
;;Total;37744;
HORTALEZA;16;Platanus x hybrida;4592;
HORTALEZA;16;Pinus pinea;4518;
HORTALEZA;16;Celtis australis;3249;
HORTALEZA;16;Sophora japonica;2489;
HORTALEZA;16;Acer negundo;2124;
HORTALEZA;16;Cupressus sempervirens;2058;
HORTALEZA;16;Robinia pseudoacacia;2005;
HORTALEZA;16;Prunus cerasifera subsp. Pissartii;1608;
HORTALEZA;16;Ulmus pumila;1475;
HORTALEZA;16;Ligustrum japonicum;1395;
HORTALEZA;16;Populus alba;1237;
HORTALEZA;16;Aesculus hippocastanum;1212;
HORTALEZA;16;Ulmus minor;1204;
HORTALEZA;16;Melia azedarach;1142;
HORTALEZA;16;Otros;23259;
;;Total;53567;
VILLAVERDE;17;Ulmus pumila;5478;
VILLAVERDE;17;Celtis australis;3334;
VILLAVERDE;17;Platanus x hybrida;3033;
VILLAVERDE;17;Ligustrum japonicum;2356;
VILLAVERDE;17;Pinus pinea;2005;
VILLAVERDE;17;Melia azedarach;1809;
VILLAVERDE;17;Pinus halepensis;1754;
VILLAVERDE;17;Robinia pseudoacacia;1741;
VILLAVERDE;17;Prunus cerasifera subsp. Pissartii;1688;
VILLAVERDE;17;Aesculus hippocastanum;1609;
VILLAVERDE;17;Acer negundo;1259;
VILLAVERDE;17;Catalpa bignonioides;1105;
VILLAVERDE;17;Otros;13403;
;;Total;40574;
VILLA DE VALLECAS;18;Platanus x hybrida;5187;
VILLA DE VALLECAS;18;Pinus halepensis;2777;
VILLA DE VALLECAS;18;Celtis australis;2627;
VILLA DE VALLECAS;18;Acer negundo;2260;
VILLA DE VALLECAS;18;Robinia pseudoacacia;1893;
VILLA DE VALLECAS;18;Ulmus pumila;1892;
VILLA DE VALLECAS;18;Cupressus sempervirens;1225;
VILLA DE VALLECAS;18;Aesculus hippocastanum;1083;
VILLA DE VALLECAS;18;Prunus cerasifera subsp. Pissartii;1060;
VILLA DE VALLECAS;18;Melia azedarach;982;
VILLA DE VALLECAS;18;Otros;15295;
;;Total;36281;
VICÁLVARO;19;Ligustrum japonicum;1993;
VICÁLVARO;19;Celtis australis;1836;
VICÁLVARO;19;Platanus x hybrida;1825;
VICÁLVARO;19;Platanus orientalis;1769;
VICÁLVARO;19;Robinia pseudoacacia;1461;
VICÁLVARO;19;Pinus pinea;1458;
VICÁLVARO;19;Sophora japonica;1437;
VICÁLVARO;19;Aesculus hippocastanum;1262;
VICÁLVARO;19;Ulmus pumila;1233;
VICÁLVARO;19;Acer negundo;1114;
VICÁLVARO;19;Otros;11426;
;;Total;26814;
SAN BLAS - CANILLEJAS;20;Platanus x hybrida;7099;
SAN BLAS - CANILLEJAS;20;Pinus pinea;2968;
SAN BLAS - CANILLEJAS;20;Celtis australis;2106;
SAN BLAS - CANILLEJAS;20;Sin especie;1997;
SAN BLAS - CANILLEJAS;20;Acer negundo;1894;
SAN BLAS - CANILLEJAS;20;Robinia pseudoacacia;1832;
SAN BLAS - CANILLEJAS;20;Pinus halepensis;1650;
SAN BLAS - CANILLEJAS;20;Aesculus hippocastanum;1393;
SAN BLAS - CANILLEJAS;20;Ulmus sp;1162;
SAN BLAS - CANILLEJAS;20;Ulmus pumila;1109;
SAN BLAS - CANILLEJAS;20;Prunus cerasifera subsp. Pissartii;870;
SAN BLAS - CANILLEJAS;20;Otros;14735;
;;Total;38815;
BARAJAS;21;Platanus x hybrida;3026;
BARAJAS;21;Sophora japonica;915;
BARAJAS;21;Celtis australis;807;
BARAJAS;21;Ligustrum japonicum;711;
BARAJAS;21;Catalpa bignonioides;710;
BARAJAS;21;Robinia pseudoacacia;672;
BARAJAS;21;Prunus cerasifera subsp. Pissartii;540;
BARAJAS;21;Melia azedarach;535;
BARAJAS;21;Pinus pinea;511;
BARAJAS;21;Pinus halepensis;462;
BARAJAS;21;Acer negundo;397;
BARAJAS;21;Ulmus pumila;357;
BARAJAS;21;Otros;6602;
;;Total;16245;
;;;;
;;TOTAL:;648481;
