PARQUE;Altura Promedio (m);Perimetro Promedio (cm);Recien plantado y no consolidado;Joven;Maduro;Viejo;Otros;Total general;;;;;;
CUÑA VERDE DE O´DONNELL Y P. F. FUENTE CARRANTONA;4,06;38,73;67;5535;7368;136;278;13384;;;;;;
DEHESA DE LA VILLA;7,79;86,35;430;2598;6521;211;31;9791;;;;;;
Z.V.DISTRITO C-LAS TABLAS;3;11;0;1047;40;0;60;1147;;;;;;
CAPRICHO DE LA ALAMEDA DE OSUNA;12,82;84,16;44;668;3107;495;12;4326;;;;;;
JARDINES DEL BUEN RETIRO;10,04;94,41;215;5968;11854;1342;56;19435;;;;;;
JARDINES PZA DE ORIENTE-JARDÍN DEL CABO NOVAL-JARDÍN DE LEPANTO;9,29;115,39;2;26;276;2;23;329;;;;;;
JARDINES DE SABATINI;8,57;122,4;;10;267;3;37;317;;;;;;
PARQUE DEL OESTE- TEMPLO DE DEBOD;13,39;99,51;750;975;7574;151;441;9891;;;;;;
QUINTA FUENTE DEL BERRO;10,16;69,42;22;257;1150;19;13;1461;;;;;;
QUINTA DE LOS MOLINOS;13,31;65,52;169;773;6966;46;64;8018;;;;;;
ROSALEDA DE MADRID (PARQUE DEL OESTE);13,67;156;1;12;69;35;0;117;;;;;;
PARQUE FORESTAL VALDEBEBAS;4,09;28,35;1187;3844;297;104;0;5432;;;;;;
PARQUE JUAN CARLOS I;4,9;45,68;560;518;12674;465;369;14586;;;;;;
PARQUE JUAN PABLO II;4,3;35,1;31;809;865;0;2;1707;;;;;;
MADRID RÍO;5,6;32,3;0;3;618;40;15813;16474;;;;;;
PARQUE LINEAL DEL MANZANARES;4,6;66,2;2588;106;0;3;2115;4812;;;;;;
;;;;;;;;111.227;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
