parque;especie;unidades_2019;;;
quinta_de_los_molinos;cedrus_deodara;249;;;
quinta_de_los_molinos;gleditsia_triacanthos;220;;;
quinta_de_los_molinos;ligustrum_japonicum;178;;;
quinta_de_los_molinos;otros;1503;;;
parque_del_oeste-_templo_de_debod;pinus_pinea;1205;;;
parque_del_oeste-_templo_de_debod;sophora_japonica;830;;;
parque_del_oeste-_templo_de_debod;platanus_x_hybrida;627;;;
parque_del_oeste-_templo_de_debod;ligustrum_japonicum;508;;;
parque_del_oeste-_templo_de_debod;pinus_halepensis;372;;;
parque_del_oeste-_templo_de_debod;populus_alba_'bolleana';369;;;
parque_del_oeste-_templo_de_debod;cedrus_deodara;357;;;
parque_del_oeste-_templo_de_debod;prunus_cerasifera_subsp._pissartii;317;;;
parque_del_oeste-_templo_de_debod;celtis_australis;288;;;
parque_del_oeste-_templo_de_debod;cedrus_atlantica;268;;;
parque_del_oeste-_templo_de_debod;otros;2490;;;
rosaleda_de_madrid_(parque_del_oeste);cedrus_deodara;55;;;
rosaleda_de_madrid_(parque_del_oeste);acer_negundo;18;;;
rosaleda_de_madrid_(parque_del_oeste);prunus_cerasifera_pisardii;7;;;
rosaleda_de_madrid_(parque_del_oeste);thuja_occidentalis;7;;;
rosaleda_de_madrid_(parque_del_oeste);populus_alba_bolleana;5;;;
rosaleda_de_madrid_(parque_del_oeste);ligustrum_japonicum;3;;;
rosaleda_de_madrid_(parque_del_oeste);quercus_robur;3;;;
rosaleda_de_madrid_(parque_del_oeste);betula_utilis;2;;;
rosaleda_de_madrid_(parque_del_oeste);cedrus_libani;2;;;
rosaleda_de_madrid_(parque_del_oeste);cedrusatlantica'glauca';2;;;
rosaleda_de_madrid_(parque_del_oeste);otros;11;;;
jardines_pza_de_oriente-jardin_del_cabo_noval-jardin_de_lepanto;platanus_x_hybrida;127;;;
jardines_pza_de_oriente-jardin_del_cabo_noval-jardin_de_lepanto;ligustrum_lucidum;39;;;
jardines_pza_de_oriente-jardin_del_cabo_noval-jardin_de_lepanto;cupressus_sempervirens;33;;;
jardines_pza_de_oriente-jardin_del_cabo_noval-jardin_de_lepanto;taxus_baccata;30;;;
jardines_pza_de_oriente-jardin_del_cabo_noval-jardin_de_lepanto;magnolia_grandiflora;9;;;
jardines_pza_de_oriente-jardin_del_cabo_noval-jardin_de_lepanto;cedrus_deodara;8;;;
jardines_pza_de_oriente-jardin_del_cabo_noval-jardin_de_lepanto;cupressus_macrocarpa;7;;;
jardines_pza_de_oriente-jardin_del_cabo_noval-jardin_de_lepanto;pinus_halepensis;1;;;
parque_lineal_del_manzanares;populus_nigra_(chopo_negro);3961;;;
parque_lineal_del_manzanares;pinus_pinea_(pino_pinonero);3143;;;
parque_lineal_del_manzanares;celtis_australis_(almez);2105;;;
parque_lineal_del_manzanares;fraxinus_angustifolia_(fresno_de_la_tierra);1128;;;
parque_lineal_del_manzanares;platanus_hybrida_(platano_de_sombra);634;;;
parque_lineal_del_manzanares;olea_europaea_(olivo);499;;;
parque_lineal_del_manzanares;salix_alba_(sauce_blanco);446;;;
parque_lineal_del_manzanares;cupressus_sempervirens_(cipres_comun);409;;;
parque_lineal_del_manzanares;tilia_platyphyllos_(tilo_de_hojas_grandes);271;;;
parque_lineal_del_manzanares;gleditsia_triacanthos_(acacia_de_tres_espinas);250;;;
parque_lineal_del_manzanares;otros;2464;;;
