occurrenceid,verbatimscientificname,scientificname,key,matchtype,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalname,authorship
,"populus_alba_'bolleana'","populus_alba_l.","3040233","exact","88","accepted","species","plantae","tracheophyta","magnoliopsida","malpighiales","salicaceae","populus","populus_alba","populus_alba","l."
,"cedrus_atlantica","cedrus_atlantica_(endl.)_manetti_ex_carriere","5284702","exact","98","accepted","species","plantae","tracheophyta","pinopsida","pinales","pinaceae","cedrus","cedrus_atlantica","cedrus_atlantica","manetti_ex_carriere_(endl.)"
,"acer_negundo","acer_negundo_l.","3189866","exact","98","accepted","species","plantae","tracheophyta","magnoliopsida","sapindales","sapindaceae","acer","acer_negundo","acer_negundo","l."
,"prunus_cerasifera_pisardii","prunus_cerasifera_subsp._pissardii_(carriare)_dostal","3022398","fuzzy","94","synonym","subspecies","plantae","tracheophyta","magnoliopsida","rosales","rosaceae","prunus","prunus_cerasifera","prunus_cerasifera_pissardii","dostal_(carriare)"
,"thuja_occidentalis","thuja_occidentalis_l.","2684178","exact","98","accepted","species","plantae","tracheophyta","pinopsida","pinales","cupressaceae","thuja","thuja_occidentalis","thuja_occidentalis","l."
,"betula_utilis","betula_utilis_d.don","5332157","exact","98","accepted","species","plantae","tracheophyta","magnoliopsida","fagales","betulaceae","betula","betula_utilis","betula_utilis","d.don"
,"cedrus_libani","cedrus_libani_a.rich.","5284682","exact","98","accepted","species","plantae","tracheophyta","pinopsida","pinales","pinaceae","cedrus","cedrus_libani","cedrus_libani","a.rich."
,"cedrusiatlanticai'glauca'","cedrus_trew","2685742","higherrank","92","accepted","genus","plantae","tracheophyta","pinopsida","pinales","pinaceae","cedrus",,"cedrus","trew"
,"taxus_baccata","taxus_baccata_l.","5284517","exact","97","accepted","species","plantae","tracheophyta","pinopsida","pinales","taxaceae","taxus","taxus_baccata","taxus_baccata","l."
,"magnolia_grandiflora","magnolia_grandiflora_l.","9605163","exact","98","accepted","species","plantae","tracheophyta","magnoliopsida","magnoliales","magnoliaceae","magnolia","magnolia_grandiflora","magnolia_grandiflora","l."
,"cupressus_macrocarpa","cupressus_macrocarpa_hartw._ex_gordon","2684070","exact","97","accepted","species","plantae","tracheophyta","pinopsida","pinales","cupressaceae","cupressus","cupressus_macrocarpa","cupressus_macrocarpa","hartw._ex_gordon"
,"populus_nigra_(chopo_negro)","populus_nigra_var._nigra","7266798","fuzzy","92","accepted","variety","plantae","tracheophyta","magnoliopsida","malpighiales","salicaceae","populus","populus_nigra","populus_nigra_nigra",
,"pinus_pinea_(pino_piionero)","pinus_pinea_l.","5285165","higherrank","98","accepted","species","plantae","tracheophyta","pinopsida","pinales","pinaceae","pinus","pinus_pinea","pinus_pinea","l."
,"celtis_australis_(almez)","celtis_australis_l.","2984492","exact","97","accepted","species","plantae","tracheophyta","magnoliopsida","rosales","cannabaceae","celtis","celtis_australis","celtis_australis","l."
,"fraxinus_angustifolia_(fresno_de_la_tierra)","fraxinus_angustifolia_vahl","7325877","higherrank","97","accepted","species","plantae","tracheophyta","magnoliopsida","lamiales","oleaceae","fraxinus","fraxinus_angustifolia","fraxinus_angustifolia","vahl"
,"platanus_hybrida_(platano_de_sombra)","platanus_ahybrida_brot.","3152814","higherrank","98","accepted","species","plantae","tracheophyta","magnoliopsida","proteales","platanaceae","platanus","platanus_hybrida","platanus_hybrida","brot."
,"olea_europaea_(olivo)","olea_europaea_l.","5415040","exact","97","accepted","species","plantae","tracheophyta","magnoliopsida","lamiales","oleaceae","olea","olea_europaea","olea_europaea","l."
,"salix_alba_(sauce_blanco)",,,"none","100",,,,,,,,,,,
,"cupressus_sempervirens_(cipres_comun)","cupressus_sempervirens_l.","2684030","higherrank","98","accepted","species","plantae","tracheophyta","pinopsida","pinales","cupressaceae","cupressus","cupressus_sempervirens","cupressus_sempervirens","l."
,"abies_nordmanniana","abies_nordmanniana_(steven)_spach","2685552","exact","98","accepted","species","plantae","tracheophyta","pinopsida","pinales","pinaceae","abies","abies_nordmanniana","abies_nordmanniana","spach_(steven)"
,"acer_pseudoplatanus","acer_pseudoplatanus_l.","3189870","exact","97","accepted","species","plantae","tracheophyta","magnoliopsida","sapindales","sapindaceae","acer","acer_pseudoplatanus","acer_pseudoplatanus","l."
,"ulmus_minor","ulmus_minor_mill.","5361865","exact","98","accepted","species","plantae","tracheophyta","magnoliopsida","rosales","ulmaceae","ulmus","ulmus_minor","ulmus_minor","mill."
,"morus_alba_'fruitless'","morus_alba_l.","5361889","exact","84","accepted","species","plantae","tracheophyta","magnoliopsida","rosales","moraceae","morus","morus_alba","morus_alba","l."
,"koelreuteria_paniculata","koelreuteria_paniculata_laxm.","5421180","exact","98","accepted","species","plantae","tracheophyta","magnoliopsida","sapindales","sapindaceae","koelreuteria","koelreuteria_paniculata","koelreuteria_paniculata","laxm."
,"populusinigraivar.iitalica","populus_l.","3040183","exact","94","accepted","genus","plantae","tracheophyta","magnoliopsida","malpighiales","salicaceae","populus",,"populus","l."
,"prunus_amygdalus","prunus_amygdalus_(l.)_batsch","3020980","exact","97","synonym","species","plantae","tracheophyta","magnoliopsida","rosales","rosaceae","prunus","prunus_dulcis","prunus_amygdalus","batsch_(l.)"
,"cupresus_arizonica","cupressus_arizonica_greene","2683969","fuzzy","84","accepted","species","plantae","tracheophyta","pinopsida","pinales","cupressaceae","cupressus","cupressus_arizonica","cupressus_arizonica","greene"
,"ulmus_sp.",,,"none","100",,,,,,,,,,,
