parque;altura_promedio_(m);perimetro_promedio_(cm);recien_plantado_y_no_consolidado;joven;maduro;viejo;otros;total_general;;;;;;
cuna_verde_de_odonnell_y_p._f._fuente_carrantona;4,06;38,73;67;5535;7368;136;278;13384;;;;;;
dehesa_de_la_villa;7,79;86,35;430;2598;6521;211;31;9791;;;;;;
z.v.distrito_c-las_tablas;3;11;0;1047;40;0;60;1147;;;;;;
capricho_de_la_alameda_de_osuna;12,82;84,16;44;668;3107;495;12;4326;;;;;;
jardines_del_buen_retiro;10,04;94,41;215;5968;11854;1342;56;19435;;;;;;
jardines_pza_de_oriente-jardin_del_cabo_noval-jardin_de_lepanto;9,29;115,39;2;26;276;2;23;329;;;;;;
jardines_de_sabatini;8,57;122,4;;10;267;3;37;317;;;;;;
parque_del_oeste-_templo_de_debod;13,39;99,51;750;975;7574;151;441;9891;;;;;;
quinta_fuente_del_berro;10,16;69,42;22;257;1150;19;13;1461;;;;;;
quinta_de_los_molinos;13,31;65,52;169;773;6966;46;64;8018;;;;;;
rosaleda_de_madrid_(parque_del_oeste);13,67;156;1;12;69;35;0;117;;;;;;
parque_forestal_valdebebas;4,09;28,35;1187;3844;297;104;0;5432;;;;;;
parque_juan_carlos_i;4,9;45,68;560;518;12674;465;369;14586;;;;;;
parque_juan_pablo_ii;4,3;35,1;31;809;865;0;2;1707;;;;;;
madrid_rio;5,6;32,3;0;3;618;40;15813;16474;;;;;;
parque_lineal_del_manzanares;4,6;66,2;2588;106;0;3;2115;4812;;;;;;
;;;;;;;;111.227;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
